Quarter,Year,Account_ID,Account_Name,Vertical,Assets_Processed,Assets_Reused,Assets_Recycled,Assets_Disposed,Circularity_Rate_Pct,Recovery_Value_USD,CO2_Avoided_KG,ESG_Reports_Generated,Data_Destruction_Certs,Benchmark_Recovery_Pct,Sprout_Recovery_Pct,Value_Above_Benchmark_USD
Q1,2024,ACC001,Apex Financial Group,Financial Services,1200,384,720,96,32,48000,14400,2,1200,28,32,4800
Q1,2024,ACC002,CloudCore Technologies,Technology & Cloud,3500,1085,2275,140,31,87500,42000,3,3500,28,31,10500
Q1,2024,ACC003,Meridian Telecom,Telecom & Media,850,238,561,51,28,21250,10200,1,850,28,28,0
Q1,2024,ACC004,HealthFirst Systems,Healthcare,420,109,294,17,26,10500,5040,1,420,28,26,-2100
Q1,2024,ACC005,Precision OEM Corp,Manufacturing & OEM,310,78,217,15,25,7750,3720,1,310,28,25,-3100
Q1,2024,ACC006,Global Trust Bank,Financial Services,2800,952,1820,28,34,112000,33600,4,2800,28,34,16800
Q1,2024,ACC007,NexGen Cloud,Technology & Cloud,2100,672,1365,63,32,63000,25200,3,2100,28,32,8400
Q2,2024,ACC001,Apex Financial Group,Financial Services,1350,459,851,40,34,54000,16200,3,1350,30,34,5400
Q2,2024,ACC002,CloudCore Technologies,Technology & Cloud,3800,1254,2470,76,33,95000,45600,4,3800,30,33,11400
Q2,2024,ACC003,Meridian Telecom,Telecom & Media,920,276,608,36,30,27600,11040,2,920,30,30,0
Q2,2024,ACC004,HealthFirst Systems,Healthcare,460,138,299,23,30,18400,5520,2,460,30,30,0
Q2,2024,ACC005,Precision OEM Corp,Manufacturing & OEM,340,102,221,17,30,13600,4080,1,340,30,30,0
Q2,2024,ACC006,Global Trust Bank,Financial Services,3100,1116,1953,31,36,124000,37200,4,3100,30,36,18600
Q2,2024,ACC007,NexGen Cloud,Technology & Cloud,2400,816,1560,24,34,72000,28800,3,2400,30,34,9600
Q2,2024,ACC008,Vertex Media Group,Telecom & Media,680,231,442,7,34,27200,8160,2,680,30,34,2720
Q3,2024,ACC001,Apex Financial Group,Financial Services,1500,540,930,30,36,67500,18000,3,1500,32,36,6000
Q3,2024,ACC002,CloudCore Technologies,Technology & Cloud,4200,1470,2688,42,35,105000,50400,4,4200,32,35,12600
Q3,2024,ACC003,Meridian Telecom,Telecom & Media,990,297,653,40,30,29700,11880,2,990,32,30,-19800
Q3,2024,ACC004,HealthFirst Systems,Healthcare,510,184,316,10,36,22950,6120,2,510,32,36,2040
Q3,2024,ACC005,Precision OEM Corp,Manufacturing & OEM,380,133,247,0,35,19000,4560,2,380,32,35,1140
Q3,2024,ACC006,Global Trust Bank,Financial Services,3400,1258,2108,34,37,136000,40800,5,3400,32,37,17000
Q3,2024,ACC007,NexGen Cloud,Technology & Cloud,2700,972,1701,27,36,81000,32400,4,2700,32,36,10800
Q3,2024,ACC008,Vertex Media Group,Telecom & Media,760,281,472,7,37,30400,9120,2,760,32,37,3800
Q4,2024,ACC001,Apex Financial Group,Financial Services,1650,627,990,33,38,82500,19800,4,1650,34,38,6600
Q4,2024,ACC002,CloudCore Technologies,Technology & Cloud,4600,1748,2806,46,38,115000,55200,5,4600,34,38,18400
Q4,2024,ACC003,Meridian Telecom,Telecom & Media,1050,336,693,21,32,31500,12600,2,1050,34,32,-21000
Q4,2024,ACC004,HealthFirst Systems,Healthcare,560,213,341,6,38,25200,6720,3,560,34,38,2240
Q4,2024,ACC005,Precision OEM Corp,Manufacturing & OEM,420,160,256,4,38,21000,5040,2,420,34,38,1680
Q4,2024,ACC006,Global Trust Bank,Financial Services,3800,1482,2280,38,39,152000,45600,5,3800,34,39,19000
Q4,2024,ACC007,NexGen Cloud,Technology & Cloud,3000,1140,1830,30,38,90000,36000,4,3000,34,38,12000
Q4,2024,ACC008,Vertex Media Group,Telecom & Media,840,319,512,9,38,33600,10080,3,840,34,38,3360
Q1,2025,ACC001,Apex Financial Group,Financial Services,1800,738,1008,54,41,90000,21600,4,1800,36,41,9000
Q1,2025,ACC002,CloudCore Technologies,Technology & Cloud,5100,2091,2958,51,41,127500,61200,5,5100,36,41,25500
Q1,2025,ACC003,Meridian Telecom,Telecom & Media,1100,374,704,22,34,38500,13200,3,1100,36,34,-22000
Q1,2025,ACC004,HealthFirst Systems,Healthcare,610,256,348,6,42,30500,7320,3,610,36,42,3660
Q1,2025,ACC005,Precision OEM Corp,Manufacturing & OEM,460,193,262,5,42,23000,5520,2,460,36,42,2760
Q1,2025,ACC006,Global Trust Bank,Financial Services,4200,1764,2394,42,42,168000,50400,6,4200,36,42,25200
Q1,2025,ACC007,NexGen Cloud,Technology & Cloud,3300,1386,1881,33,42,99000,39600,5,3300,36,42,19800
Q1,2025,ACC008,Vertex Media Group,Telecom & Media,920,387,524,9,42,36800,11040,3,920,36,42,5520
Q1,2025,ACC009,BioSync Life Sciences,Healthcare,280,106,168,6,38,14000,3360,2,280,36,38,560
